Arf1,Lrp1
Edn2,Lrp1
Efna1,Lrp1
Efna2,Lrp1
Efna5,Lrp1
Fgf1,Lrp1
Fgf15,Lrp1
Galp,Lrp1
Ngf,Lrp1
Nts,Lrp1
Pgf,Lrp1
Pla2g10,Lrp1
Edn2,Mtnr1a
Efna1,Mtnr1a
Efna2,Mtnr1a
Insl5,Mtnr1a
Clcf1,Agtr2
Efna1,Agtr2
Efna2,Agtr2
Fgf1,Agtr2
Il23a,Agtr2
Arf1,Bdkrb2
Cga,Bdkrb2
Edn2,Bdkrb2
Efna1,Bdkrb2
Efna2,Bdkrb2
Efna3,Bdkrb2
Efna4,Bdkrb2
Efna5,Bdkrb2
Fgf1,Bdkrb2
Fgf15,Bdkrb2
Nmu,Bdkrb2
Nts,Bdkrb2
Pla2g10,Bdkrb2
Angpt2,Itgb1
Apoe,Itgb1
C4bp,Itgb1
Cgn,Itgb1
Colq,Itgb1
Cyr61,Itgb1
Efna1,Itgb1
Efna2,Itgb1
Efna3,Itgb1
Efna4,Itgb1
Efna5,Itgb1
Epo,Itgb1
F12,Itgb1
Fgf1,Itgb1
Fgf18,Itgb1
Fgf15,Itgb1
Fgf8,Itgb1
Grp,Itgb1
Icam2,Itgb1
Il11,Itgb1
Il12a,Itgb1
Insl3,Itgb1
Ltb,Itgb1
Mfge8,Itgb1
Nov,Itgb1
Ntf3,Itgb1
Ntn1,Itgb1
Ntng1,Itgb1
Ntng2,Itgb1
Nts,Itgb1
Pgf,Itgb1
Pspn,Itgb1
Ptn,Itgb1
Sftpd,Itgb1
Spint1,Itgb1
Tnfsf4,Itgb1
Vim,Itgb1
Arf1,Sdc4
Efna1,Sdc4
Csf2,Itga5
Efna1,Itgav
Efna1,Itgb3
Il9,Itgb3
Efna1,Erbb4
Artn,Notch1
Camp,Notch1
Cga,Notch1
Cxcl13,Notch1
Cyr61,Notch1
Edn2,Notch1
Efna1,Notch1
Efna2,Notch1
Efna3,Notch1
Efna4,Notch1
Efna5,Notch1
Fgf1,Notch1
Fgf18,Notch1
Fgf15,Notch1
Fgf22,Notch1
Galp,Notch1
Gdnf,Notch1
Ghrl,Notch1
Icam2,Notch1
Il17f,Notch1
Il18,Notch1
Il1f10,Notch1
Il24,Notch1
Il4,Notch1
Il6,Notch1
Il9,Notch1
Ngf,Notch1
Nppa,Notch1
Nrtn,Notch1
Nts,Notch1
Pgf,Notch1
Pla2g10,Notch1
Pnoc,Notch1
Scgb1a1,Notch1
Sost,Notch1
Spink1,Notch1
Timp2,Notch1
Tnfsf4,Notch1
Vegfb,Notch1
Adm,Cd9
B2m,Cd9
Ccl2,Cd9
Efna1,Cd9
Il1rn,Cd9
Insl5,Cd9
Vegfa,Cd9
Efna1,Itga6
Efna1,Itgb7
Ifnb1,Itgb7
Il10,Itgb7
Ly6g5c,Itga3
Timp3,Adcyap1r1
B2m,Vipr1
Efna1,Vipr1
Arf1,Vipr2
Efna1,Vipr2
Arf1,Adipor1
Efna1,Adipor1
Arf1,Adipor2
Efna1,Adipor2
Apoc3,Calcr
Apoe,Calcr
Arf1,Calcr
Ccl2,Calcr
Cga,Calcr
Edn2,Calcr
Efna1,Calcr
Efna3,Calcr
Efna4,Calcr
Efna5,Calcr
Fgf1,Calcr
Fgf15,Calcr
Fgf22,Calcr
