TOB2,0.654153355,0.237887597,0.225242718,0.264,0.338461538,0.540983607,0.211538462
MIR1246,0,0,0,0,0,0,0
INIP,0.63658147,0.755813953,0.708737864,0.824,0.584615385,0.639344262,0.730769231
BANK1,0.009584665,0.026647287,0.877669903,0.088,0.046153846,0.114754098,0.115384615
OR2V2,0.002396166,0.001453488,0,0,0,0,0
MIR489,0,0,0,0,0,0,0
SFTA2,0,0.000484496,0.001941748,0,0,0,0
GRM2,0.003194888,0.010174419,0.005825243,0.008,0.015384615,0,0.038461538
PROSC,0.501597444,0.328972868,0.248543689,0.536,0.446153846,0.524590164,0.403846154
MIR4511,0,0,0,0,0,0,0
SPIN2B,0.186102236,0.055232558,0.050485437,0.024,0.107692308,0.081967213,0.115384615
PIR,0.700479233,0.018410853,0.005825243,0.072,0.153846154,0.213114754,0
IPO9,0.835463259,0.875968992,0.854368932,0.872,0.815384615,0.819672131,0.923076923
FLJ26850,0.004792332,0.008236434,0.009708738,0.008,0,0,0
TTTY1B,0,0,0.001941748,0,0,0,0.019230769
EVC,0.311501597,0.200581395,0.170873786,0.112,0.276923077,0.37704918,0.115384615
CXCL13,0.011182109,0.271317829,0.011650485,0.008,0,0.032786885,0
KIAA1199,0.153354633,0.042151163,0.033009709,0.016,0.323076923,0.31147541,0.038461538
EHHADH-AS1,0.022364217,0.060077519,0.05631068,0.088,0.015384615,0.049180328,0.096153846
SORL1,0.14456869,0.355135659,0.310679612,0.704,0.015384615,0.098360656,0.692307692
NAT10,0.428115016,0.147286822,0.172815534,0.16,0.153846154,0.344262295,0.115384615
CHD1,0.649361022,0.432170543,0.403883495,0.584,0.507692308,0.540983607,0.384615385
SYN3,0.102236422,0.009689922,0.027184466,0,0.046153846,0.016393443,0
LINC00210,0.00399361,0.003875969,0.003883495,0.016,0.015384615,0,0
SLC22A2,0.004792332,0.005813953,0.009708738,0,0.015384615,0,0
SERPINF1,0.309105431,0.031007752,0.040776699,0.296,0.061538462,0.803278689,0.038461538
WDR34,0.484824281,0.046027132,0.126213592,0.072,0.092307692,0.409836066,0.057692308
OR7A17,0.005591054,0.007267442,0.001941748,0.008,0,0.016393443,0
POTED,0.008785942,0.006782946,0.011650485,0.008,0,0,0
EPT1,0.438498403,0.401162791,0.332038835,0.4,0.415384615,0.409836066,0.384615385
LHB,0.032747604,0.003875969,0.005825243,0.008,0,0.016393443,0
TAOK3,0.6485623,0.372577519,0.333980583,0.648,0.338461538,0.590163934,0.519230769
STK25,0.367412141,0.14874031,0.089320388,0.176,0.523076923,0.393442623,0.096153846
OR10X1,0.003194888,0.002422481,0.003883495,0,0,0,0
CDC25B,0.366613419,0.213178295,0.126213592,0.112,0.307692308,0.295081967,0.192307692
BMP3,0.108626198,0.289244186,0.262135922,0.288,0.2,0.163934426,0.115384615
TMEM180,0.291533546,0.371608527,0.332038835,0.552,0.323076923,0.229508197,0.346153846
MAP1LC3C,0.575079872,0.817344961,0.768932039,0.84,0.723076923,0.491803279,0.673076923
MIR564,0.002396166,0.001937984,0.003883495,0.008,0,0,0
CRYGC,0,0.002422481,0.003883495,0,0,0,0
POU3F1,0.049520767,0.019864341,0.011650485,0,0,0,0
HIGD1B,0.007188498,0.012596899,0.019417476,0,0,0,0
USP6NL,0.405750799,0.020348837,0.205825243,0.184,0.076923077,0.06557377,0.038461538
LINC00460,0.011182109,0.000968992,0.001941748,0,0,0,0
ABCD4,0.432108626,0.18120155,0.186407767,0.232,0.692307692,0.360655738,0.134615385
C11orf93,0.008785942,0.00629845,0.040776699,0,0,0.049180328,0
TEK,0.005591054,0.006782946,0.00776699,0.008,0.661538462,0.06557377,0.019230769
SLC25A46,0.388178914,0.168604651,0.14368932,0.264,0.230769231,0.442622951,0.153846154
LARP7,0.49600639,0.261627907,0.244660194,0.408,0.369230769,0.557377049,0.211538462
CD160,0.022364217,0.054748062,0.00776699,0,0.015384615,0,0.346153846
MT1JP,0.030351438,0.00872093,0.005825243,0.04,0.015384615,0.032786885,0.019230769
PHF20,0.573482428,0.489825581,0.483495146,0.552,0.476923077,0.491803279,0.519230769
CPNE4,0.001597444,0.00629845,0.003883495,0,0,0.016393443,0
HNF1A-AS1,0.64057508,0.820736434,0.798058252,0.816,0.646153846,0.606557377,0.788461538
GTPBP1,0.652555911,0.612887597,0.547572816,0.584,0.523076923,0.540983607,0.634615385
RAB33B,0.588658147,0.708333333,0.700970874,0.76,0.615384615,0.655737705,0.788461538
GLUD1P7,0.641373802,0.818313953,0.761165049,0.8,0.707692308,0.639344262,0.826923077
ALDOC,0.313897764,0.107073643,0.046601942,0.2,0.046153846,0.081967213,0.115384615
ZNF212,0.200479233,0.070736434,0.058252427,0.048,0.046153846,0.163934426,0
NUDT1,0.340255591,0.109496124,0.073786408,0.248,0.030769231,0.295081967,0.038461538
FAM170B-AS1,0.001597444,0.003391473,0.001941748,0,0,0,0
RFPL2,0.079073482,0.012112403,0.003883495,0,0.015384615,0.016393443,0
ZNF83,0.28913738,0.258236434,0.242718447,0.272,0.415384615,0.393442623,0.269230769
IPW,0.176517572,0.045542636,0.040776699,0.024,0.046153846,0.081967213,0.057692308
MIR630,0,0.001937984,0,0,0,0,0
GDPD5,0.164536741,0.039728682,0.034951456,0.032,0.230769231,0.131147541,0
PDCD4,0.650958466,0.733042636,0.673786408,0.64,0.630769231,0.573770492,0.711538462
CEP350,0.711661342,0.345445736,0.322330097,0.528,0.4,0.655737705,0.403846154
ARL14EPL,0,0.002906977,0.001941748,0,0,0,0
OR10A2,0.00399361,0.001453488,0,0.008,0,0.032786885,0
CST7,0.040734824,0.621124031,0.023300971,0.144,0.015384615,0.016393443,0.865384615
SELL,0.051118211,0.408430233,0.74368932,0.4,0.138461538,0.06557377,0.211538462
CIAO1,0.931309904,0.831879845,0.813592233,0.848,0.830769231,0.803278689,0.807692308
SNORD115-26,0,0,0,0,0,0,0
RNF223,0,0.001937984,0,0,0,0,0
OR8J3,0.000798722,0.001937984,0,0,0,0,0
LTBP4,0.333865815,0.16375969,0.112621359,0.12,0.523076923,0.590163934,0.038461538
DCAF4L1,0.054313099,0.033430233,0.029126214,0.056,0.061538462,0.032786885,0.019230769
OR6C1,0.000798722,0.001937984,0.001941748,0,0,0,0
SIRT6,0.206070288,0.070736434,0.058252427,0.096,0.138461538,0.180327869,0.096153846
CCL19,0.005591054,0.004844961,0.003883495,0.024,0.030769231,0.229508197,0.019230769
MIR3121,0,0,0,0,0,0,0
PPIL1,0.432907348,0.07122093,0.069902913,0.08,0.123076923,0.196721311,0.038461538
GBP7,0.039936102,0.058139535,0.019417476,0.128,0.015384615,0,0.019230769
STK17A,0.243610224,0.43120155,0.495145631,0.16,0.092307692,0.442622951,0.480769231
OR9G1,0.007188498,0.008236434,0.003883495,0,0,0.016393443,0
ABR,0.476837061,0.201550388,0.097087379,0.432,0.292307692,0.344262295,0.192307692
PCDHA13,0.00399361,0.000968992,0.003883495,0,0.015384615,0,0
FOXE1,0.005591054,0.009205426,0.003883495,0,0,0,0
SIAH3,0.064696486,0.138081395,0.104854369,0.16,0.046153846,0.049180328,0.288461538
RIMBP3B,0.012779553,0.024224806,0.013592233,0.024,0.015384615,0.032786885,0
GML,0.002396166,0.003391473,0,0.008,0,0,0
CNGA3,0.001597444,0.001937984,0.003883495,0.008,0.015384615,0,0
CD38,0.038338658,0.285852713,0.130097087,0.448,0.092307692,0.081967213,0.346153846
ZDHHC6,0.304313099,0.23498062,0.215533981,0.224,0.292307692,0.426229508,0.173076923
NEFH,0.047923323,0.020348837,0.013592233,0.024,0.030769231,0.032786885,0
PGBD5,0.015175719,0.003875969,0,0.064,0.015384615,0.016393443,0
CTDSP2,0.588658147,0.205910853,0.159223301,0.328,0.476923077,0.672131148,0.153846154
ZNF257,0.062300319,0.087209302,0.095145631,0.064,0.061538462,0.081967213,0.096153846
RMND5B,0.268370607,0.088662791,0.093203883,0.144,0.153846154,0.31147541,0.038461538
CCNY,0.226837061,0.109011628,0.07961165,0.264,0.415384615,0.229508197,0.076923077
EXOSC7,0.491214058,0.138081395,0.126213592,0.184,0.2,0.360655738,0.192307692
C11orf88,0.011980831,0.01501938,0.015533981,0.04,0.030769231,0.016393443,0.038461538
ROR2,0.005591054,0.007267442,0.001941748,0.008,0,0.229508197,0
LOC338758,0.119808307,0.098352713,0.174757282,0.504,0.123076923,0.147540984,0.115384615
MAOA,0.138178914,0.007751938,0.001941748,0.016,0.230769231,0.032786885,0.019230769
TNNT3,0,0.011143411,0.001941748,0,0,0.163934426,0.019230769
GYPC,0.869009585,0.481104651,0.365048544,0.44,0.676923077,0.540983607,0.403846154
MIR3120,0,0,0,0,0,0,0
C7orf33,0,0.003875969,0,0,0.015384615,0,0
AP4B1-AS1,0.449680511,0.668120155,0.640776699,0.584,0.507692308,0.409836066,0.596153846
RNF4,0.557507987,0.426841085,0.32815534,0.44,0.476923077,0.606557377,0.269230769
EMC1,0.865814696,0.852228682,0.848543689,0.912,0.784615385,0.770491803,0.903846154
F8A1,0.083067093,0.046511628,0.029126214,0.064,0.030769231,0.06557377,0.019230769
HDAC7,0.227635783,0.288275194,0.217475728,0.184,0.630769231,0.606557377,0.307692308
PLEKHG4,0.251597444,0.035852713,0.009708738,0.016,0.046153846,0.213114754,0.019230769
GRB2,0.892172524,0.759205426,0.887378641,0.928,0.769230769,0.836065574,0.769230769
LINC00597,0.007188498,0.002906977,0.00776699,0.008,0,0.016393443,0
AGPHD1,0.091054313,0.014534884,0.001941748,0,0.030769231,0.032786885,0
HIST1H2AD,0.085463259,0.057655039,0.052427184,0.08,0,0.016393443,0.019230769
DUS3L,0.348242812,0.107073643,0.118446602,0.12,0.169230769,0.213114754,0.115384615
EIF1,0.998402556,0.966569767,0.957281553,0.976,0.969230769,0.983606557,0.903846154
FPGT,0.296325879,0.045542636,0.036893204,0.144,0.092307692,0.147540984,0.019230769
CHST15,0.036741214,0.011143411,0.110679612,0.424,0.446153846,0.229508197,0
MIR4442,0,0.000484496,0,0,0,0,0
GPN2,0.304313099,0.089147287,0.042718447,0.144,0.153846154,0.262295082,0.057692308
GDF10,0.004792332,0.009205426,0,0,0.046153846,0.081967213,0
COQ9,0.478434505,0.109011628,0.081553398,0.136,0.261538462,0.409836066,0.115384615
TRAPPC9,0.358626198,0.194282946,0.153398058,0.2,0.261538462,0.196721311,0.173076923
MIR101-2,0,0,0,0,0,0,0
DKFZP434I0714,0.083067093,0.021317829,0.013592233,0.016,0.030769231,0.06557377,0
GCC2,0.693290735,0.496608527,0.394174757,0.368,0.446153846,0.508196721,0.288461538
RARRES3,0.210063898,0.61627907,0.157281553,0.392,0.353846154,0.37704918,0.711538462
PLXNA1,0.715654952,0.053294574,0.023300971,0.328,0.215384615,0.442622951,0.038461538
KIAA0100,0.496805112,0.199612403,0.196116505,0.312,0.430769231,0.491803279,0.288461538
PMF1,0.47284345,0.285852713,0.176699029,0.304,0.338461538,0.426229508,0.153846154
FNDC1,0.004792332,0.012596899,0.011650485,0.008,0,0.360655738,0
HS2ST1,0.378594249,0.093507752,0.102912621,0.192,0.276923077,0.295081967,0.076923077
CRELD2,0.464057508,0.119670543,0.089320388,0.224,0.276923077,0.508196721,0.134615385
CD82,0.686102236,0.822674419,0.862135922,0.872,0.676923077,0.606557377,0.711538462
C8G,0.006389776,0.003391473,0,0,0,0.016393443,0
SPINK14,0,0,0,0,0,0,0
PIRT,0.002396166,0.005329457,0,0,0,0,0
LIM2,0.000798722,0.003391473,0.001941748,0,0,0,0.057692308
MIR193A,0,0,0,0,0,0,0
MMP16,0.177316294,0.011143411,0.001941748,0,0.107692308,0.081967213,0
MIMT1,0.001597444,0,0,0,0,0,0
LOC100133091,0.178913738,0.07122093,0.052427184,0.048,0.015384615,0.032786885,0.057692308
DRD3,0.002396166,0.005813953,0.001941748,0.008,0.015384615,0,0.019230769
PTP4A2,0.765175719,0.550872093,0.368932039,0.688,0.538461538,0.639344262,0.5
OR4M2,0.004792332,0.002422481,0.001941748,0.016,0,0,0
C11orf73,0.561501597,0.199127907,0.168932039,0.224,0.415384615,0.491803279,0.192307692
HPCA,0.00399361,0.000968992,0.001941748,0,0.015384615,0,0
SEC14L1,0.545527157,0.186531008,0.180582524,0.472,0.569230769,0.344262295,0.365384615
METTL25,0.120607029,0.058624031,0.067961165,0.064,0.076923077,0.180327869,0.038461538
